breed,height_low_inches,height_high_inches,weight_low_lbs,weight_high_lbs,good in apartment,good for novice owner,independant,prefers cold weather,prefers hot weather,kid freindly,shedding,grooming,health,size,trainabilty,intelligence,energy,Intensity
Dandie Dinmont Terrier,18,24,8,11,4,4,2,3,3,4,3,2,3,1,2,3,3,3
English Toy Spaniel,10,10,9,15,4,4,1,2,2,1,5,4,2,2,3,3,3,3
French Bulldog,11,12,17,28,5,5,1,2,1,4,3,5,2,2,4,3,3,4
German Pinscher,16,19,25,35,3,3,3,3,4,3,3,5,4,3,4,5,5,3
Lakeland Terrier,13,14,15,17,4,3,2,4,4,4,2,2,5,2,2,4,5,4
Pug,10,11,14,22,5,5,1,2,1,4,5,5,1,2,3,2,3,4
Puli,16,17,29,33,4,1,2,4,3,5,1,1,5,3,2,4,5,5
Schipperke,10,13,12,18,4,2,3,3,2,5,3,5,4,1,2,4,5,3
Scottish Terrier,10,12,18,22,4,2,3,4,3,4,2,2,4,2,1,4,4,4
Sealyham Terrier,12,12,18,20,4,4,2,4,3,4,4,1,5,2,3,4,4,2
Shiba Inu,13,16,15,30,5,4,5,4,3,3,4,4,3,2,2,4,4,2
Shih Tzu,8,11,9,16,5,5,3,3,1,4,3,1,3,1,3,4,2,3
Silky Terrier,9,10,8,11,5,3,3,1,4,3,2,4,4,1,4,4,4,4
Skye Terrier,10,10,25,25,4,4,2,4,4,4,3,3,5,2,2,4,3,4
Tibetan Spaniel,10,10,9,15,5,4,1,1,2,5,3,4,5,1,4,4,3,3
Tibetan Terrier,14,17,20,30,5,3,1,4,4,5,1,1,5,2,4,4,5,4
Welsh Terrier,15,15,20,21,3,3,2,2,2,5,2,2,5,2,3,5,5,5
West Highland White Terrier,11,11,13,15,4,4,2,4,3,4,4,3,3,2,4,4,4,4
Whippet,18,22,27,30,5,3,2,1,4,5,2,5,4,3,4,4,5,2
Affenpinscher,9,12,8,12,5,4,1,3,3,1,1,3,4,1,2,4,4,3
Chihuahua,6,9,2,5,5,4,1,1,2,5,2,5,2,1,4,4,3,2
Chinese Crested,11,13,5,12,5,3,1,1,3,5,2,2,5,2,4,3,2,1
Italian Greyhound,12,15,6,10,5,5,1,1,3,5,2,5,3,2,3,3,4,2
Japanese Chin,8,11,4,11,5,4,1,3,2,3,3,3,3,1,3,3,2,1
Maltese,8,10,4,6,5,5,1,1,3,3,2,2,3,1,4,4,3,3
Papillon,8,11,5,10,5,5,1,2,4,3,2,3,3,1,5,4,4,3
Pomeranian,12,12,3,7,4,4,1,4,2,2,4,2,3,1,4,4,3,2
Toy Fox Terrier,10,10,4,7,5,3,1,2,3,4,4,5,5,1,3,4,5,4
Yorkshire Terrier,8,8,3,7,5,4,2,2,2,2,2,2,4,1,3,3,5,4
