breed,height_low_inches,height_high_inches,weight_low_lbs,weight_high_lbs,good in apartment,good for novice owner,independant,prefers cold weather,prefers hot weather,kid freindly,shedding,grooming,health,size,trainabilty,intelligence,energy
Mastiff,27,30,175,190,2,1,3,4,1,5,3,3,3,5,3,2,3
Newfoundland,26,28,100,150,1,3,1,5,2,5,5,2,1,5,5,4,3
Norwegian Elkhound,19,20,40,60,4,4,2,5,3,4,5,3,4,3,2,4,5
Nova Scotia Duck Tolling Retriever,17,21,35,50,5,3,2,4,4,5,3,5,4,3,4,5,5
Papillon,8,11,5,10,5,5,1,2,4,3,2,3,3,1,5,4,4
Pharaoh Hound,21,25,45,55,4,4,2,1,5,5,2,4,5,3,3,4,2
Pointer,21,24,44,66,1,1,1,2,4,5,3,5,3,3,5,5,5
Polish Lowland Sheepdog,16,20,30,35,4,2,3,4,4,4,1,1,4,3,4,4,4
Pomeranian,12,12,3,7,4,4,1,4,2,2,4,2,3,1,4,4,3
Portuguese Water Dog,20,23,42,60,4,3,2,4,3,5,1,2,4,3,4,5,5
Pug,10,11,14,22,5,5,1,2,1,4,5,5,1,2,3,2,3
Puli,16,17,29,33,4,1,2,4,3,5,1,1,5,3,2,4,5
Redbone Coonhound,21,27,50,70,4,2,2,3,2,5,2,5,3,3,3,4,4
Rhodesian Ridgeback,24,27,70,85,1,2,2,3,3,4,4,5,4,4,2,4,4
Rottweiler,22,27,90,110,2,1,1,2,3,4,4,5,2,3,4,5,4
Saint Bernard,25,28,110,190,3,2,1,5,1,5,4,2,2,5,2,4,3
Saluki,23,28,35,70,1,2,1,2,3,4,2,4,4,4,4,4,5
Samoyed,19,24,50,65,2,2,2,5,1,5,5,1,3,3,3,3,5
Schipperke,10,13,12,18,4,2,3,3,2,5,3,5,4,1,2,4,5
Scottish Deerhound,28,32,75,110,1,1,2,4,4,4,5,2,3,5,2,3,5
Scottish Terrier,10,12,18,22,4,2,3,4,3,4,2,2,4,2,1,4,4
Sealyham Terrier,12,12,18,20,4,4,2,4,3,4,4,1,5,2,3,4,4
Shiba Inu,13,16,15,30,5,4,5,4,3,3,4,4,3,2,2,4,4
Shih Tzu,8,11,9,16,5,5,3,3,1,4,3,1,3,1,3,4,2
Siberian Husky,20,23,40,60,2,1,1,5,3,5,4,2,4,3,2,3,5
Silky Terrier,9,10,8,11,5,3,3,1,4,3,2,4,4,1,4,4,4
Skye Terrier,10,10,25,25,4,4,2,4,4,4,3,3,5,2,2,4,3
Spinone Italiano,23,28,65,80,4,4,2,4,3,5,3,2,3,4,4,4,4
Staffordshire Bull Terrier,14,16,24,28,3,1,2,3,1,5,3,5,3,2,2,3,3
Standard Schnauzer,17,19,33,33,4,2,2,4,4,4,1,2,5,3,3,5,5
Sussex Spaniel,15,16,40,45,5,5,1,5,5,5,3,4,4,2,3,5,2
Tibetan Mastiff,24,26,140,170,1,1,1,5,2,5,2,4,3,5,1,5,4
Tibetan Spaniel,10,10,9,15,5,4,1,1,2,5,3,4,5,1,4,4,3
Tibetan Terrier,14,17,20,30,5,3,1,4,4,5,1,1,5,2,4,4,5
Toy Fox Terrier,10,10,4,7,5,3,1,2,3,4,4,5,5,1,3,4,5
Vizsla,48,66,22,25,1,3,1,1,4,5,2,5,4,3,5,4,5
Weimaraner,25,27,70,85,1,2,1,3,4,4,4,5,3,4,4,5,5
Welsh Springer Spaniel,16,19,35,45,4,4,1,4,4,5,3,4,4,3,5,5,5
Welsh Terrier,15,15,20,21,3,3,2,2,2,5,2,2,5,2,3,5,5
West Highland White Terrier,11,11,13,15,4,4,2,4,3,4,4,3,3,2,4,4,4
Whippet,18,22,27,30,5,3,2,1,4,5,2,5,4,3,4,4,5
Wirehaired Pointing Griffon,20,24,45,60,1,3,1,4,3,5,1,3,4,3,5,5,5
Yorkshire Terrier,8,8,3,7,5,4,2,2,2,2,2,2,4,1,3,3,5
